"","year","state","income","lfpr"
"431",2013,13,0,0.23
"432",2014,13,0,0.19
"433",2015,13,0,0.21
"434",1977,15,0,0.42
"435",1978,15,0,0.41
"436",1979,15,0,0.38
"437",1980,15,0,0.37
"438",1981,15,0,0.36
"439",1982,15,0,0.32
"440",1983,15,0,0.36
"441",1984,15,0,0.37
"442",1985,15,0,0.34
"443",1986,15,0,0.33
"444",1987,15,0,0.36
"445",1988,15,0,0.31
"446",1989,15,0,0.29
"447",1990,15,0,0.28
"448",1991,15,0,0.29
"449",1992,15,0,0.25
"450",1993,15,0,0.24
"451",1994,15,0,0.29
"452",1995,15,0,0.31
"453",1996,15,0,0.31
"454",1997,15,0,0.34
"455",1998,15,0,0.31
"456",1999,15,0,0.3
"457",2000,15,0,0.32
"458",2001,15,0,0.29
"459",2002,15,0,0.25
"460",2003,15,0,0.25
"461",2004,15,0,0.25
"462",2005,15,0,0.24
"463",2006,15,0,0.24
"464",2007,15,0,0.25
"465",2008,15,0,0.25
"466",2009,15,0,0.23
"467",2010,15,0,0.26
"468",2011,15,0,0.25
"469",2012,15,0,0.23
"470",2013,15,0,0.2
"471",2014,15,0,0.21
"472",2015,15,0,0.19
"473",1977,16,0,0.42
"474",1978,16,0,0.45
"475",1979,16,0,0.45
"476",1980,16,0,0.45
"477",1981,16,0,0.43
"478",1982,16,0,0.41
"479",1983,16,0,0.44
"480",1984,16,0,0.43
"481",1985,16,0,0.42
"482",1986,16,0,0.43
"483",1987,16,0,0.4
"484",1988,16,0,0.35
"485",1989,16,0,0.41
"486",1990,16,0,0.41
"487",1991,16,0,0.39
"488",1992,16,0,0.39
"489",1993,16,0,0.35
"490",1994,16,0,0.41
"491",1995,16,0,0.39
"492",1996,16,0,0.39
"493",1997,16,0,0.36
"494",1998,16,0,0.36
"495",1999,16,0,0.35
"496",2000,16,0,0.31
"497",2001,16,0,0.34
"498",2002,16,0,0.34
"499",2003,16,0,0.35
"500",2004,16,0,0.37
"501",2005,16,0,0.37
"502",2006,16,0,0.33
"503",2007,16,0,0.31
"504",2008,16,0,0.28
"505",2009,16,0,0.28
"506",2010,16,0,0.32
"507",2011,16,0,0.3
"508",2012,16,0,0.33
"509",2013,16,0,0.27
"510",2014,16,0,0.23
"511",2015,16,0,0.27
"512",1976,17,0,0.37
"513",1977,17,0,0.36
"514",1978,17,0,0.36
"515",1979,17,0,0.34
"516",1980,17,0,0.36
"517",1981,17,0,0.34
"518",1982,17,0,0.35
"519",1983,17,0,0.36
"520",1984,17,0,0.37
"521",1985,17,0,0.34
"522",1986,17,0,0.34
"523",1987,17,0,0.31
"524",1988,17,0,0.31
"525",1989,17,0,0.34
"526",1990,17,0,0.33
"527",1991,17,0,0.31
"528",1992,17,0,0.32
"529",1993,17,0,0.3
"530",1994,17,0,0.3
"531",1995,17,0,0.3
"532",1996,17,0,0.27
"533",1997,17,0,0.28
"534",1998,17,0,0.28
"535",1999,17,0,0.28
"536",2000,17,0,0.27
"537",2001,17,0,0.28
"538",2002,17,0,0.26
"539",2003,17,0,0.24
"540",2004,17,0,0.26
"541",2005,17,0,0.25
"542",2006,17,0,0.23
"543",2007,17,0,0.23
"544",2008,17,0,0.24
"545",2009,17,0,0.24
"546",2010,17,0,0.26
"547",2011,17,0,0.26
"548",2012,17,0,0.25
"549",2013,17,0,0.23
"550",2014,17,0,0.25
"551",2015,17,0,0.21
"552",1976,18,0,0.38
"553",1977,18,0,0.36
"554",1978,18,0,0.36
"555",1979,18,0,0.39
"556",1980,18,0,0.39
"557",1981,18,0,0.39
"558",1982,18,0,0.36
"559",1983,18,0,0.36
"560",1984,18,0,0.36
"561",1985,18,0,0.37
"562",1986,18,0,0.38
"563",1987,18,0,0.37
"564",1988,18,0,0.34
"565",1989,18,0,0.31
"566",1990,18,0,0.34
"567",1991,18,0,0.31
"568",1992,18,0,0.29
"569",1993,18,0,0.3
"570",1994,18,0,0.32
"571",1995,18,0,0.3
"572",1996,18,0,0.3
"573",1997,18,0,0.28
"574",1998,18,0,0.31
"575",1999,18,0,0.27
"576",2000,18,0,0.27
"577",2001,18,0,0.3
"578",2002,18,0,0.26
"579",2003,18,0,0.26
"580",2004,18,0,0.25
"581",2005,18,0,0.26
"582",2006,18,0,0.26
"583",2007,18,0,0.26
"584",2008,18,0,0.23
"585",2009,18,0,0.22
"586",2010,18,0,0.23
"587",2011,18,0,0.24
"588",2012,18,0,0.2
"589",2013,18,0,0.23
"590",2014,18,0,0.22
"591",2015,18,0,0.21
"592",1977,19,0,0.45
"593",1978,19,0,0.46
"594",1979,19,0,0.45
"595",1980,19,0,0.44
"596",1981,19,0,0.45
"597",1982,19,0,0.4
"598",1983,19,0,0.41
"599",1984,19,0,0.42
"600",1985,19,0,0.44
"601",1986,19,0,0.41
"602",1987,19,0,0.45
"603",1988,19,0,0.43
"604",1989,19,0,0.42
"605",1990,19,0,0.4
"606",1991,19,0,0.44
"607",1992,19,0,0.41
"608",1993,19,0,0.41
"609",1994,19,0,0.42
"610",1995,19,0,0.4
"611",1996,19,0,0.4
"612",1997,19,0,0.4
"613",1998,19,0,0.41
"614",1999,19,0,0.36
"615",2000,19,0,0.36
"616",2001,19,0,0.38
"617",2002,19,0,0.37
"618",2003,19,0,0.35
"619",2004,19,0,0.35
"620",2005,19,0,0.39
"621",2006,19,0,0.35
"622",2007,19,0,0.34
"623",2008,19,0,0.35
"624",2009,19,0,0.35
"625",2010,19,0,0.38
"626",2011,19,0,0.33
"627",2012,19,0,0.31
"628",2013,19,0,0.31
"629",2014,19,0,0.29
"630",2015,19,0,0.3
"631",1977,20,0,0.48
"632",1978,20,0,0.44
